price,bedrooms,bathrooms,sqft_living,floors,view,sqft_above,sqft_basement
313000.0,3.0,1.5,1340,1.5,0,1340,0
342000.0,3.0,2.0,1930,1.0,0,1930,0
420000.0,3.0,2.25,2000,1.0,0,1000,1000
550000.0,4.0,2.5,1940,1.0,0,1140,800
490000.0,2.0,1.0,880,1.0,0,880,0
335000.0,2.0,2.0,1350,1.0,0,1350,0
482000.0,4.0,2.5,2710,2.0,0,2710,0
640000.0,4.0,2.0,1520,1.5,0,1520,0
463000.0,3.0,1.75,1710,1.0,0,1710,0
588500.0,3.0,1.75,2330,1.0,0,1970,360
365000.0,3.0,1.0,1090,1.0,0,1090,0
1200000.0,5.0,2.75,2910,1.5,0,2910,0
242500.0,3.0,1.5,1200,1.0,0,1200,0
419000.0,3.0,1.5,1570,1.0,0,1570,0
367500.0,4.0,3.0,3110,2.0,0,3110,0
257950.0,3.0,1.75,1370,1.0,0,1370,0
275000.0,3.0,1.5,1180,1.0,0,1180,0
750000.0,3.0,1.75,2240,2.0,0,1550,690
435000.0,4.0,1.0,1450,1.0,0,1450,0
626000.0,3.0,2.25,1750,2.5,0,1470,280
612500.0,4.0,2.5,2730,2.0,0,2730,0
495000.0,4.0,1.75,1600,1.0,0,1130,470
285000.0,3.0,2.5,2090,1.0,0,1360,730
615000.0,3.0,1.75,2360,1.0,0,1360,1000
698000.0,4.0,2.25,2200,1.5,0,1300,900
790000.0,3.0,2.5,2600,1.0,0,1700,900
382500.0,4.0,1.75,1560,1.0,0,1560,0
499950.0,4.0,2.5,2860,2.0,0,2190,670
650000.0,4.0,2.0,1820,1.5,1,1640,180
625000.0,4.0,2.5,2820,2.0,0,2820,0
400000.0,4.0,2.5,3630,1.5,0,2300,1330
604000.0,3.0,2.5,3240,2.0,2,3240,0
440000.0,2.0,1.0,800,1.0,0,800,0
287200.0,3.0,3.0,1850,1.0,0,1090,760
403000.0,3.0,2.0,1960,1.0,2,1650,310
750000.0,3.0,2.5,2390,1.0,2,1440,950
335000.0,3.0,2.25,1580,1.0,0,1580,0
260000.0,4.0,2.0,1480,1.0,0,1480,0
308500.0,2.0,1.0,850,1.0,0,850,0
439950.0,3.0,2.5,1770,2.0,0,1770,0
235000.0,2.0,1.0,1210,1.0,0,1210,0
315000.0,3.0,1.0,1160,1.0,0,1160,0
437500.0,3.0,2.25,1970,2.0,0,1970,0
407500.0,3.0,2.5,1930,2.0,0,1930,0
445700.0,3.0,2.5,1270,3.0,0,1270,0
838000.0,4.0,2.5,3310,2.0,0,3310,0
630000.0,4.0,2.75,2710,2.0,0,2710,0
550000.0,3.0,1.75,2910,1.5,0,2910,0
